input_name,description,delay,source_xlsx
dpad_left,USB-A Second controller,instant,Bluetooth GamePad Default.xlsx
dpad_right,USB-A Second controller,instant,Bluetooth GamePad Default.xlsx
left_joy_left,USB-A Second controller,instant,Bluetooth GamePad Default.xlsx
left_joy_right,USB-A Second controller,instant,Bluetooth GamePad Default.xlsx
left_joy_up,USB-A Second controller,instant,Bluetooth GamePad Default.xlsx
left_joy_down,USB-A Second controller,instant,Bluetooth GamePad Default.xlsx
right_joy_left,USB-A Second controller,instant,Bluetooth GamePad Default.xlsx
right_joy_right,USB-A Second controller,instant,Bluetooth GamePad Default.xlsx
right_joy_up,USB-A Second controller,instant,Bluetooth GamePad Default.xlsx
right_joy_down,USB-A Second controller,instant,Bluetooth GamePad Default.xlsx
left_1,USB-A Second controller,instant,Bluetooth GamePad Default.xlsx
left_2,USB-A Second controller,instant,Bluetooth GamePad Default.xlsx
left_3,USB-A Second controller,instant,Bluetooth GamePad Default.xlsx
right_1,USB-A Second controller,instant,Bluetooth GamePad Default.xlsx
right_2,USB-A Second controller,instant,Bluetooth GamePad Default.xlsx
right_3,USB-A Second controller,instant,Bluetooth GamePad Default.xlsx
x,USB-A Second controller,instant,Bluetooth GamePad Default.xlsx
square,USB-A Second controller,instant,Bluetooth GamePad Default.xlsx
triangle,USB-A Second controller,instant,Bluetooth GamePad Default.xlsx
circle,USB-A Second controller,instant,Bluetooth GamePad Default.xlsx
ps3,USB-A Second controller,instant,Bluetooth GamePad Default.xlsx
select,USB-A Second controller,instant,Bluetooth GamePad Default.xlsx
start,USB-A Second controller,instant,Bluetooth GamePad Default.xlsx
push,Push Switch in Joystick,instant,Matt Victor CODMW.xlsx
center,Joystick Center position,instant,Matt Victor CODMW.xlsx
mp_left_sip,Mouthpiece Hard Sip Left sip/puff sensor,instant,Matt Victor CODMW.xlsx
mp_left_puff,Mouthpiece Hard Puff Left sip/puff sensor,instant,Matt Victor CODMW.xlsx
mp_center_sip,Mouthpiece Hard Sip Center sip/puff sensor,instant,Matt Victor CODMW.xlsx
mp_center_puff,Mouthpiece Hard Puff Center sip/puff sensor,instant,Matt Victor CODMW.xlsx
mp_right_sip,Mouthpiece Hard Sip Right sip/puff sensor,instant,Matt Victor CODMW.xlsx
mp_right_puff,Mouthpiece Hard Puff Right sip/puff sensor,instant,Matt Victor CODMW.xlsx
mp_left_center_sip,Mouthpiece Hard Sip Left-Center sip/puff sensors,instant,Matt Victor CODMW.xlsx
mp_left_center_puff,Mouthpiece Hard Puff Left-Center sip/puff sensors,instant,Matt Victor CODMW.xlsx
mp_right_center_sip,Mouthpiece Hard Sip Right-Center sip/puff sensors,instant,Matt Victor CODMW.xlsx
mp_right_center_puff,Mouthpiece Hard Puff Right-Center sip/puff sensors,instant,Matt Victor CODMW.xlsx
mp_left_right_sip,Mouthpiece Hard Sip Left-Right sip/puff sensors,instant,Matt Victor CODMW.xlsx
mp_left_right_puff,Mouthpiece Hard Puff Left-Right sip/puff sensors,instant,Matt Victor CODMW.xlsx
mp_triple_sip,Mouthpiece Hard Sip All Three sip/puff sensors,instant,Matt Victor CODMW.xlsx
